phenotype name,Synonyms,hpo_id,database_cross_reference
Aplasia/Hypoplasia of the phalanges of the hand,Hypoplastic/absent phalanges|Aplastic/hypoplastic phalanges|Aplastic/hypoplastic phalanges of the hand,HP:0009767,UMLS:C1848670
Increased erythrocyte protoporphyrin concentration,,HP:0012187,UMLS:C4023007
Abnormal humeral ossification,Abnormal maturation of long bone in upper arm,HP:0012791,UMLS:C4022722
Abnormality of the cheek,Abnormality of the cheek|Abnormality of the cheeks|Deformity of the cheeks|Anomaly of the cheeks|Malformation of the cheeks,HP:0004426,UMLS:C4025324
Ochronosis,,HP:0030764,SNOMEDCT_US:410042009|MSH:D009794|UMLS:C0028817
Recurrent infection of the gastrointestinal tract,"Recurrent infection of the GI tract|Recurrent gastrointestinal infections|Recurrent infection of the gastrointestinal tract|Gastrointestinal infections|Gastrointestinal infections, recurrent",HP:0004798,SNOMEDCT_US:715852004|UMLS:C4082764|UMLS:C1854495
Stage 2 chronic kidney disease,,HP:0012624,UMLS:C2316786|SNOMEDCT_US:431856006
Increased proportion of class-switched memory B cells,Increased proportion of CD19+CD27+IgD- cells,HP:0030387,UMLS:C4073288
Desquamative interstitial pneumonitis,Filling of the alveoli with alveolar macrophages|Intra-alveolar accumulation of macrophages|Filling of the alveoli with desquamated epithelial cells,HP:0005942,MSH:C562470|SNOMEDCT_US:8549006|UMLS:C0238378
Moderate postnatal growth retardation,Moderate growth delay in children,HP:0008855,UMLS:C4024616
Ureteral duplication,Double ureter,HP:0000073,SNOMEDCT_US:49496001|UMLS:C0221365
Short 2nd toe,Short second toe,HP:0001885,UMLS:C4021769
Dilatation of an abdominal artery,Aneurysm of an abdominal artery,HP:0002636,UMLS:C4025694
Distal widening of metacarpals,Wide outermost end of long bone,HP:0006048,UMLS:C1865254
Duplication of the proximal phalanx of the 5th toe,Duplication of the proximal phalanx of the fifth toe|Duplication of the innermost bone of the pinky toe|Duplication of the innermost bone of the pinkie toe|Partial/complete duplication of the proximal phalanx of the 5th toe|Duplication of the innermost bone of the little toe,HP:0100406,UMLS:C4020991
Accelerated bone age after puberty,Accelerated bone age after puberty,HP:0002805,UMLS:C1860825
Abnormality of the epiphyses of the middle phalanges of the hand,Abnormality of the end part of the middle hand bones,HP:0010244,UMLS:C4023955
Salt craving,Salt craving,HP:0030083,UMLS:C0240928
Small epiphysis of the proximal phalanx of the 3rd finger,Small end part of innermost long bone of the middle finger,HP:0009354,UMLS:C4024415
Premature occlusive vascular stenosis,,HP:0005297,UMLS:C1867457
Total absence of the pericardium,Absent pericardium|Congenital absence of the pericardium,HP:0011629,Fyler:1910|UMLS:C0345140|SNOMEDCT_US:253732001
Best corrected visual acuity 0.3 LogMAR,,HP:0030556,UMLS:C4073029
Retinal pigment epithelial loss on macular OCT,,HP:0030611,UMLS:C4073081
Streaky metaphyseal sclerosis,Streak increase in bone density in wide portion of wide bone,HP:0005092,UMLS:C4025253
Poikiloderma,,HP:0001029,MEDDRA:10057041|UMLS:C0392777|SNOMEDCT_US:402685001|SNOMEDCT_US:70114006
Absent epiphysis of the middle phalanx of the 3rd toe,Absent end part of the middle bone of the 3rd toe,HP:0100146,UMLS:C4022275
Abnormal metaphyseal vascular invasion,,HP:0003562,UMLS:C3277127
Perilobar nephroblastomatosis,,HP:0011796,SNOMEDCT_US:405935000|UMLS:C1319017
Muscular cardiac diverticulum,,HP:0100573,UMLS:C4022021
Intralobar nephrogenic rest,Intralobar nephrogenic rests,HP:0012783,SNOMEDCT_US:405934001|UMLS:C1319016
Generalized hypertrichosis,Generalised hypertrichosis,HP:0004554,UMLS:C3277940
Hyperactive bowel sounds,Increased bowel sounds|Borborygmi,HP:0030143,SNOMEDCT_US:18101008|UMLS:C0232694
Abnormal pulmonary valve morphology,Anomaly of the pulmonary valve|Abnormality of the pulmonary valve,HP:0001641,UMLS:C3164374|Fyler:1600|Fyler:1602|SNOMEDCT_US:448643005
Bullet-shaped distal phalanx of the 2nd finger,Bullet-shaped outermost bone of the index finger,HP:0009559,UMLS:C4024292
Abnormal circulating citrulline concentration,,HP:0011965,UMLS:C4023103
Vascular neoplasm,Blood vessel tumor|Blood vessel tumour,HP:0100742,UMLS:C0282607|UMLS:C0027668|SNOMEDCT_US:115235003|NCIT:C3262|SNOMEDCT_US:699605009|MSH:D019043|SNOMEDCT_US:126736007|MSH:D009383
Absent nail of hallux,Absent nail of big toe|Absent big toe nail,HP:0012555,UMLS:C4021081
Limited mobility of proximal interphalangeal joint,Limited mobility of innermost hinge joint,HP:0006217,UMLS:C1857288
Complete duplication of the distal phalanx of the 2nd finger,Complete duplication of the outermost bone of the index finger,HP:0009950,UMLS:C4024151
Polymorphic and polytopic ventricular extrasystoles,,HP:0006696,UMLS:C4024998
Slender middle phalanx of finger,Slender middle bone of finger,HP:0012295,UMLS:C4022963
Aplasia/Hypoplasia of the distal phalanx of the 2nd toe,Absent/underdeveloped outermost 2nd toe bone|Absent/small outermost 2nd toe bone,HP:0010413,UMLS:C4023843
Total ophthalmoplegia,Global paralysis of gaze|Total internal and external ophthalmoplegia|Complete ophthalmoplegia,HP:0007824,SNOMEDCT_US:78097002|UMLS:C0155338
Thyroid adenoma,,HP:0000854,SNOMEDCT_US:255034006|MSH:D013964|NCIT:C2855|SNOMEDCT_US:255033000|UMLS:C0151468
Widened metacarpal shaft,Broad shaft of long bone of hand,HP:0006012,UMLS:C1850159
Osteolytic defects of the distal phalanges of the toes,,HP:0010189,UMLS:C4023979
Vocal cord paralysis,Laryngeal paralysis|Inability to move vocal cords,HP:0001605,SNOMEDCT_US:302912005|UMLS:C0042928|MSH:D014826|UMLS:C1854345
Cryoglobulinemia,Cryoprecipitable immune complexes,HP:0100778,UMLS:C0010403|SNOMEDCT_US:30911005|MSH:D003449
Subluxation of metacarpal phalangeal joints,Partial knuckle dislocation|Subluxation of metacarpophalangeal joints,HP:0004294,UMLS:C4025363
Bracket metacarpal epiphyses,Bracket shaped end part of long bone of hand,HP:0200050,UMLS:C4021897
Joint hemorrhage,Spontaneous joint haemorrhage|Joint haemorrhage|Hemarthroses|Spontaneous joint hemorrhage|Hemarthrosis|Bleeding within a joint,HP:0005261,SNOMEDCT_US:81808003|MSH:D006395|UMLS:C0018924
Impaired glucose tolerance,Glucose tolerance decreased|Decreased glucose tolerance,HP:0040270,MP:0005291|UMLS:C0151671
Hyperkeratotic papule,,HP:0045059,UMLS:C2047516
Ambiguous atrioventricular connection,Ambiguous atrioventricular connexion,HP:0011552,SNOMEDCT_US:253278008|UMLS:C0344617
Abnormal light- and dark-adapted electroretinogram,Abnormal rod and cone electroretinogram,HP:0008323,UMLS:C3151111
Nevus flammeus nuchae,Port-wine stain on neck|Stork bite|Angel's kiss|Salmon patch,HP:0007616,UMLS:C4280438|UMLS:C4024829|UMLS:C0860468
Amblyopia,Lazy eye|Wandering eye|Wandering eyes,HP:0000646,SNOMEDCT_US:387742006|MSH:D000550|UMLS:C0002418
Pancreatic squamous cell carcinoma,Squamous cell carcinoma of the pancreas,HP:0012142,UMLS:C2675993
Complete duplication of the proximal phalanges of the hand,Complete duplication of the innermost bones of the hand,HP:0010000,UMLS:C4024119
High posterior hairline,High hairline at back of head,HP:0012891,UMLS:C4022692
Agraphesthesia,,HP:0011812,UMLS:C1328618
Cerebellar Purkinje layer atrophy,,HP:0012082,UMLS:C4023053
Polyotia,,HP:0100687,UMLS:C0266611|SNOMEDCT_US:35547002
Palmar hyperkeratosis,,HP:0010765,UMLS:C4023710
Factor XIII subunit B deficiency,"Reduced factor XIII, subunit B",HP:0040234,UMLS:C2750481|MSH:C567688
Abnormality of the crus of the helix,Abnormality of the crus of the ear,HP:0009895,UMLS:C4021380
Polyarticular chondrocalcinosis,,HP:0005017,UMLS:C4025258
Posterior rib gap,Dorsal rib defect,HP:0030282,UMLS:C1842696
Aplastic clavicle,Absent collarbone|Absent clavicles|Aplastic clavicles,HP:0006660,UMLS:C1857665
Sclerosis of middle toe phalanx,Sclerosis of the middle phalanges of the toes|Increased bone density in middle toe bone,HP:0100947,UMLS:C4020924
Mesenteric cyst,,HP:0030451,SNOMEDCT_US:27970007|MSH:D008639|UMLS:C0025467|SNOMEDCT_US:253802003
Broad phalanx,Broad phalanges|Wide digital bones|Wide phalanges|Widened phalanges,HP:0006009,UMLS:C1855185
Large central visual field defect,Large central loss of field of vision,HP:0001129,UMLS:C4025800
Iris melanoma,,HP:0011524,NCIT:C3224|SNOMEDCT_US:255012009|UMLS:C0346373
Stiff shoulders,Stiff shoulders,HP:0009742,UMLS:C0241042|SNOMEDCT_US:249918006
Aspiration pneumonia,,HP:0011951,UMLS:C0032290|SNOMEDCT_US:422588002|MSH:D011015
Anencephaly,Embryonic anencephaly|Fetal anencephaly|Foetal anencephaly,HP:0002323,Fyler:4332|UMLS:C0002902|MSH:D000757|SNOMEDCT_US:89369001
Lens coloboma,,HP:0100719,SNOMEDCT_US:204134008|UMLS:C0344516
Hypoplasia of the pyramidal tract,,HP:0007348,UMLS:C1850871
Overlapping fingers,,HP:0010557,UMLS:C1446712
Humeral lytic defects,Lytic defects of the humerus,HP:0003875,UMLS:C4025536
Palmoplantar keratoderma,Palmar and plantar keratoderma|Thickening of palms and soles,HP:0000982,MSH:D007645|UMLS:C0022596|SNOMEDCT_US:706885006
Abnormality of vitamin E metabolism,Abnormality of vitamin E metabolism,HP:0100514,UMLS:C4022034
Abnormal P50/N95 ratio of pattern electroretinogram,,HP:0030487,UMLS:C4072977
Progressive distal muscular atrophy,,HP:0008955,UMLS:C4024613
Diaphragmatic eventration,Eventration of the diaphragm,HP:0009110,UMLS:C0011981|SNOMEDCT_US:34168003|MSH:D003965
Sensorimotor polyneuropathy affecting arms more than legs,,HP:0006865,UMLS:C4024974
Proximal/middle symphalangism of 3rd finger,Fused of innermost and middle bones of middle finger,HP:0009482,UMLS:C4024340
Posterior pituitary hypoplasia,Neurohypophysis hypoplasia,HP:0011757,UMLS:C4023202
Plantar pits,,HP:0010612,UMLS:C1852301
Xerostomia,Decreased salivary flow|Reduced salivation|Dry mouth syndrome|Dry mouth,HP:0000217,SNOMEDCT_US:87715008|SNOMEDCT_US:300268000|SNOMEDCT_US:56893005|UMLS:C0043352|MSH:D014987
Abnormality of immune serum protein physiology,,HP:0011111,UMLS:C4023536
Granulovacuolar degeneration,,HP:0002528,UMLS:C0333454|SNOMEDCT_US:90506004
Tegumentary leishmaniasis susceptibility,,HP:0007408,UMLS:C2748501
Patchy sclerosis of the proximal phalanx of the 3rd finger,Uneven increase in bone density in the innermost bone of the middle finger,HP:0009454,UMLS:C4024351
Paroxysmal dystonia,Episodic dystonia,HP:0002268,MSH:D004421|UMLS:C0393588|SNOMEDCT_US:230310003
Pineal cyst,,HP:0012683,UMLS:C1335411|SNOMEDCT_US:413099000
Muscle fiber hyaline bodies,Muscle fibre hyaline bodies,HP:0100306,UMLS:C4022155
Cleft of alveolar ridge of maxilla,Notch of gum ridge|Cleft of gum ridge|Alveolar ridge cleft|Notch of alveolar ridge|Cleft of alveolar process|Notch of alveolar process,HP:0010289,UMLS:C4280386|SNOMEDCT_US:445306000|UMLS:C2919907|UMLS:C1398533
Chemodectoma,Chemodectomas,HP:0030074,SNOMEDCT_US:127028003|MSH:D002345|SNOMEDCT_US:30699005|UMLS:C0007279
Monocytosis,High blood monocyte number,HP:0012311,SNOMEDCT_US:19636003|UMLS:C0085702
Enlarged epiphysis of the proximal phalanx of the thumb,Enlarged end part of thumb innermost long bone,HP:0009667,UMLS:C4024250
Low-frequency hearing loss,Low-frequency hearing loss,HP:0008542,SNOMEDCT_US:42538001|UMLS:C0271514
Bracket epiphysis of the distal phalanx of the 2nd toe,Bracket shaped end part of the outermost bone of the 2nd toe,HP:0100101,UMLS:C4022320
Duplication of the distal phalanx of the hallux,Partial/complete duplication of the distal phalanx of the hallux|Duplication of the outermost bone of big toe,HP:0010084,UMLS:C4021339
Subconjunctival hemorrhage,Subconjunctival haemorrhage,HP:0011896,SNOMEDCT_US:78768009|UMLS:C0038534
Macrodontia,Hypertrophy of tooth|Hyperplasia of tooth|Increased size of tooth|Increased width of tooth|Large tooth|Megalodontia|Tooth mass excess,HP:0001572,UMLS:C4280590|UMLS:C4280591|UMLS:C4280592|SNOMEDCT_US:71485000|UMLS:C0266036
Abnormal vertebral morphology,Abnormal vertebrae|Abnormality of the vertebrae|Vertebral anomalies|Multiple vertebral anomalies|Abnormal vertebral bodies,HP:0003468,UMLS:C0158775|UMLS:C4020840|Fyler:4108|SNOMEDCT_US:205043005|SNOMEDCT_US:74877002|UMLS:C4020839
Anorchism,,HP:0030869,SNOMEDCT_US:371015003|UMLS:C1261504|MSH:C537770
Linear nevus sebaceous,,HP:0010817,UMLS:C3854181|SNOMEDCT_US:52298009|MSH:D054000|SNOMEDCT_US:239112008|SNOMEDCT_US:707136009
Bradyopsia,Difficulty seeing moving objects,HP:0030511,MSH:C564243|UMLS:C1842073|SNOMEDCT_US:711163009
Atypical hyperphenylalaninemia,,HP:0004922,UMLS:C4025273
Abnormality of urine homeostasis,Urine issues|Pee issues,HP:0003110,UMLS:C4025655
Clinodactyly of the 3rd toe,Curvature of 3rd toe|3rd toe clinodactyly,HP:0008115,UMLS:C4280416|UMLS:C4021555
Aplasia of the nose,Underdevelopment of nose|Arrhinia|Failure of development of nose|Nasal underdevelopment|Absent nose|Missing nose,HP:0009927,SNOMEDCT_US:111317000|MSH:C537438|UMLS:C0265740|UMLS:C4280391
Small epiphyses of the metacarpals,Small end part of the long bone of hand,HP:0009194,UMLS:C4024543
Hand monodactyly,,HP:0004058,UMLS:C4025415
Abnormal platelet granule secretion,,HP:0030396,UMLS:C4072929
Deviation of the 5th toe,Displacement of the 5th toe|Displacement of the little toe|Displacement of the pinky toe|Displacement of the pinkie toe,HP:0010344,UMLS:C4021291
Short nasal bridge,Decreased length of nasal bridge|Short bridge of nose|Short nasal bridge|Decreased length of bridge of nose,HP:0003194,UMLS:C1854689
Decreased muscle glycogen content,,HP:0012270,UMLS:C4022979
Anterior staphyloma,,HP:0030855,SNOMEDCT_US:231888000|UMLS:C0339206
Incomplete male pseudohermaphroditism,,HP:0008656,UMLS:C4024645
Sclerosis of the distal phalanx of the 4th finger,Increased bone density in the outermost bone of the ring finger,HP:0100902,UMLS:C4021940
Slow-growing scalp hair,Slow-growing scalp hair,HP:0100038,UMLS:C4022383
Decreased serum complement C3,Decreased serum complement C3 level|Decreased serum C3,HP:0005421,UMLS:C1837512
Supraventricular tachycardia with an accessory connection mediated pathway,Atrioventricular re-entry tachycardia|Supraventricular tachycardia with an accessory connexion mediated pathway,HP:0011688,UMLS:C4021132
Abnormal static automated perimetry test,,HP:0030595,UMLS:C4073067
Neoplasm of the adrenal medulla,Medullar adrenal neoplasia,HP:0100642,SNOMEDCT_US:127023007|NCIT:C3262|UMLS:C0596046
Multiple gastric polyps,,HP:0004394,UMLS:C0236048|SNOMEDCT_US:78809005|MSH:C562464|SNOMEDCT_US:87252009
Specific learning disability,,HP:0001328,UMLS:C4025790
Irregular femoral epiphysis,Irregular thighbone end part,HP:0006361,UMLS:C1850658
Focal,,HP:0030650,SNOMEDCT_US:87017008|UMLS:C0205234
Posterior vertebral hypoplasia,,HP:0008451,UMLS:C1856780
Absent microvilli on the surface of peripheral blood lymphocytes,,HP:0002971,UMLS:C1833173
Prominent corneal nerve fibers,Prominent corneal nerve fibres|Visible corneal nerve fibers|Visible corneal nerve fibres,HP:0010726,UMLS:C4021233
Fragmentation of the epiphysis of the distal phalanx of the 4th finger,Fragmentation of end part of the outermost bone of the ring finger,HP:0009254,UMLS:C4024493
Anterior synechiae of the anterior chamber,Iridocorneal synechia|Cornea-iris adhesion|Anterior synechiae,HP:0011483,SNOMEDCT_US:70992005|UMLS:C0152252
Loss of ability to walk,Loss of ability to walk,HP:0006957,UMLS:C1849097
Left unicoronal synostosis,,HP:0011316,UMLS:C4023417
Hepatic vein thrombosis,Hepatic venous thrombosis|Blood clot in liver vein,HP:0030243,SNOMEDCT_US:38739001|MSH:D006502|UMLS:C0019154
Recurrent thromboembolism,Recurrent thromboembolic disease,HP:0004831,UMLS:C4025286|UMLS:C0749398
Seasonal allergy,Seasonal allergy,HP:0012395,SNOMEDCT_US:367498001|SNOMEDCT_US:444316004|SNOMEDCT_US:21719001|MSH:D006255|UMLS:C0018621|SNOMEDCT_US:300910009
Benign prostatic hyperplasia,Benign prostatic hypertrophy,HP:0008711,MSH:D011470|UMLS:C1704272|SNOMEDCT_US:266569009|UMLS:C0005001
Bracket epiphysis of the middle phalanx of the 2nd finger,Bracket shaped end part of the middle long bone of the index finger,HP:0009514,UMLS:C4024318
Transudative pleural effusion,,HP:0011920,UMLS:C0020312|SNOMEDCT_US:79231000|MSH:D006876
Agenesis of first permanent molar tooth,Failure of development of first permanent molar|Failure of development of six year molar|Agenesis of six year molar|Absence of first permanent molar|Missing first permanent molar|Absence of six year molar|Missing six year molar,HP:0011056,UMLS:C4023562|UMLS:C4280346
Abnormal sperm tail morphology,Sperm tail anomaly,HP:0012868,UMLS:C4022699
Malabsorption,Intestinal malabsorption|Malabsorption,HP:0002024,UMLS:C3714745
Uveal melanoma,Intraocular melanoma,HP:0007716,UMLS:C0220633|NCIT:C3224|MSH:C536494
Nuclear punctate cataract,,HP:0010925,UMLS:C4023649
Posterior fusion of lumbosacral vertebrae,,HP:0005626,UMLS:C4025169
Complete duplication of hallux phalanx,Complete duplication of big toe bones|Complete duplication of the phalanges of the hallux,HP:0010100,UMLS:C4021336
Palmoplantar pustulosis,Pustulosis of palms and soles|Palmoplantar pustules|Pustulosis palmaris et plantaris,HP:0100847,SNOMEDCT_US:27520001|UMLS:C0030246|MSH:D011565|MEDDRA:10050185
Hypocalcemic seizures,Low calcium seizures|Seizures due to hypocalcemia,HP:0002199,UMLS:C1855841
Right aortic arch with left descending aorta and left ductus arteriosus,,HP:0011597,UMLS:C4023276
Myositis,Muscle inflammation,HP:0100614,MSH:D009220|UMLS:C0027121|SNOMEDCT_US:26889001|SNOMEDCT_US:128496001
Stippled calcification of the shoulder,,HP:0003836,UMLS:C4025562
Ectopia of the spleen,Abnormal spleen location|Ectopic spleen,HP:0010452,UMLS:C0266632|SNOMEDCT_US:65146007
Shortening of all distal phalanges of the toes,Shortening of all outermost bone of the toes,HP:0005793,UMLS:C4025132
Peripheral retinal detachment,,HP:0007929,UMLS:C4024771
Mesomelia,Disproportionately short middle portion of limb|Mesomelic limb shortening|Mesomelic shortening of limbs|Symmetric mesomelic limb shortness,HP:0003027,UMLS:C0549306
Triangular shaped middle phalanges of the hand,Triangular shaped middle finger bones of the hand,HP:0009850,UMLS:C4024183
Breast hypertrophy,Breasts enlarged|Hypertrophy of the breasts|Gigantomastia|Macromastia|Breast enlargement|Large breast,HP:0010313,UMLS:C0020565|SNOMEDCT_US:372285001|MSH:C536821|SNOMEDCT_US:372281005|UMLS:C2225524|SNOMEDCT_US:372283008|UMLS:C0392533
Progressive reticulate hyperpigmentation,,HP:0007456,UMLS:C4024872
Transient hyperlipidemia,,HP:0008279,UMLS:C1850722
Recurrent streptococcus pneumoniae infections,,HP:0005366,UMLS:C2169794
Abnormal hepatic iron concentration,Abnormal liver iron concentration|Abnormal liver iron level,HP:0040134,UMLS:C4022420
Aplasia/Hypoplasia of the palmar creases,Absent/small palm crease|Absent/underdeveloped palm crease,HP:0010488,UMLS:C4023806
Proximal/middle symphalangism of 4th toe,Fused innermost and middle bones of 4th toe|Symphalangism of the middle and proximal phalanges of the 4th toe,HP:0100481,UMLS:C4020974
Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis,"Double outlet right ventricle, doubly committed ventricular septal defect|DORV with doubly committed VSD",HP:0011652,UMLS:C4023247|Fyler:0604|Fyler:604
Aplasia of the distal phalanx of the 5th finger,Absent outermost pinkie finger bone|Absent outermost little finger bone|Absent outermost pinky finger bone,HP:0009246,UMLS:C4024501
Abnormal substantia nigra morphology,Abnormality of the substantia nigra,HP:0045007,UMLS:C4022403
Polycoria,Multiple pupils,HP:0011500,UMLS:C0344544|SNOMEDCT_US:204159004
Severe hydrops fetalis,Severe hydrops,HP:0005099,UMLS:C1866048
Delayed myelination,,HP:0012448,UMLS:C1277241|SNOMEDCT_US:135810007
Short thorax,Shorter than typical length between neck and abdomen,HP:0010306,UMLS:C0426789|SNOMEDCT_US:249670005
Midperipheral,Mid-peripheral,HP:0030648,UMLS:C4073111
Progressive cervical vertebral spine fusion,,HP:0008449,UMLS:C1851129
Deviated nasal septum,Crooked nasal septum|Crooked septum of nose|Deviated septum of nose|Deviated nasal septum,HP:0004411,SNOMEDCT_US:126660000|UMLS:C0549397
Agenesis of maxillary central incisor,Failure of development of maxillary central incisor|Missing upper central incisor|Absence of maxillary central incisor|Missing maxillary central incisor,HP:0006293,UMLS:C4280458|UMLS:C4025068
Patchy changes of bone mineral density,,HP:0010658,UMLS:C4023754
Abnormal sweat homeostasis,,HP:0040127,UMLS:C4022423
Ureteral atresia,,HP:0005999,SNOMEDCT_US:204974003|SNOMEDCT_US:49534003|UMLS:C0266320
Abnormal large intestine physiology,,HP:0012700,UMLS:C4022766
Hypomagnesiuria,Decreased urine magnesium|Low urine magnesium levels,HP:0012609,UMLS:C3203528
Congenital adrenal hypoplasia,Congenital adrenal gland hypoplasia,HP:0008244,UMLS:C0220766|SNOMEDCT_US:93235007
Keratoconjunctivitis sicca,Keratitis sicca|Dry eyes|Xerophthalmia|Dry eye syndrome,HP:0001097,UMLS:C0043349|MSH:D007638|SNOMEDCT_US:46152009|MSH:D015352|SNOMEDCT_US:363677007|UMLS:C0022575|UMLS:C2930821|UMLS:C0013238|SNOMEDCT_US:302896008|MSH:C531719|MSH:D014985
Increased fetal movement,Fetal hyperkinesia|Increased foetal movement|Foetal hyperkinesia,HP:0010519,UMLS:C4021256
Abnormal biliary tract morphology,Anomaly of the biliary tract,HP:0012440,UMLS:C4021086
Small epiphysis of the middle phalanx of the 5th finger,Small end part of the middle bone of the pinkie finger|Small end part of the middle bone of the pinky finger|Small end part of the middle bone of the little finger,HP:0009211,UMLS:C4024529
Hyperemesis gravidarum,,HP:0012188,UMLS:C0020450|SNOMEDCT_US:14094001|MSH:D006939
Isothenuria,,HP:0030036,UMLS:C4022665
Reduced factor IX activity,Low factor IX activity,HP:0011858,UMLS:C4023159
Aplasia of the 5th metacarpal,Absent 5th long bone of hand|Absent 5th metacarpal,HP:0010046,UMLS:C1867929
Hypervalinemia,High blood valine concentration,HP:0010910,SNOMEDCT_US:47719001|MSH:C536524|UMLS:C0268573
Moderate sensorineural hearing impairment,Moderate neural deafness,HP:0008504,UMLS:C4020798|UMLS:C4024664
Falciform retinal fold,Congenital retinal fold,HP:0001493,SNOMEDCT_US:204181009|UMLS:C0344550
Carious teeth,Dental cavities|Caries|Cariosity of teeth|Dental caries|Frequent caries|Early dental caries|Tooth decay|Tooth cavities|Rotting teeth|Dental decay,HP:0000670,UMLS:C0011334|MSH:D003731|SNOMEDCT_US:80967001|UMLS:C4280623
Abnormality of refraction,,HP:0000539,UMLS:C4025843
Patchy hypo- and hyperpigmentation,Patchy hypo- and hyper-pigmentation,HP:0007509,UMLS:C4021573
Chronic lymphatic leukemia,Chronic lymphocytic leukaemia|Chronic lymphocytic leukemia|Chronic lymphatic leukaemia,HP:0005550,SNOMEDCT_US:51092000|MSH:D015451|UMLS:C0023434|SNOMEDCT_US:277473004|SNOMEDCT_US:92814006
Aplasia/Hypoplasia of the patella,Small to absent patellae|Absent/small kneecap|Patellar aplasia/hypoplasia|Aplastic or hypoplastic patellae|Absent/underdeveloped kneecap|Hypoplastic or absent patella|Absent/hypoplastic patella|Absent or hypoplastic patellae,HP:0006498,MSH:C535568|UMLS:C1868577
Perinephritis,,HP:0012784,MSH:D010501|SNOMEDCT_US:111404004|UMLS:C0031065
Distal muscle weakness,"Distal limb weakness|Distal paresis|Weakness of outermost muscles|Distal limb muscle weakness|Muscle weakness, distal|Distal muscular weakness|Muscle weakness, distal limbs, due to neuronopathy|Weakness of distal muscles|Distal limb muscle weakness due to peripheral neuropathy",HP:0002460,UMLS:C0427065|UMLS:C1864696|SNOMEDCT_US:249942005
Recurrent cerebral hemorrhage,Recurrent cerebral haemorrhage|Recurrent hemorrhagic stroke,HP:0004968,UMLS:C4025264
Best corrected visual acuity 0.4 LogMAR,,HP:0030557,UMLS:C4073030
Limitation of movement at ankles,,HP:0010505,UMLS:C4023800
Elevated imprint of the transverse sinuses,Thinning and bulging of occipital bone over the transverse sinuses|Elevated imprint of posterior skull bones over the transverse sinuses|Thinning and bulging of posterior skull bones over the transverse sinuses|Elevated imprint of occipital bone over the transverse sinuses,HP:0000930,UMLS:C4025817
Patchy sclerosis of middle phalanx of finger,Patchy sclerosis of the middle phalanges of the hand|Uneven increase in bone density in the middle finger bones of the hand,HP:0009848,UMLS:C4021382
Triangular epiphysis of the proximal phalanx of the 3rd toe,Triangular end part of the innermost bone of the 3rd toe,HP:0100167,UMLS:C4022254
Increased subcutaneous truncal adipose tissue,Increased fat below the skin in trunk,HP:0009003,UMLS:C1837781
Paroxysmal supraventricular tachycardia,Episodic rapid heart beat|Episodic supraventricular tachycardia,HP:0004763,UMLS:C4280507|SNOMEDCT_US:67198005|UMLS:C0030590
Stippling of the epiphysis of the middle phalanx of the 5th toe,Speckled calcifications in middle part of the innermost bone of the pinky toe|Speckled calcifications in middle part of the innermost bone of the little toe|Speckled calcifications in end part of the innermost bone of the pinkie toe,HP:0100222,UMLS:C4022199
Acroosteolysis of distal phalanges (feet),Acroosteolysis of distal phalanges of feet,HP:0001870,UMLS:C4025739
Myelin tomacula,Tomacula,HP:0030175,UMLS:C4020904
Quadriceps aplasia,Absent quads,HP:0009788,UMLS:C3805765
Abnormal circulating cysteine concentration,,HP:0010918,UMLS:C4023652
Decreased number of small peripheral myelinated nerve fibers,Decreased number of small peripheral myelinated nerve fibres,HP:0007249,UMLS:C4024916
Lamellar pulverulent cataract,,HP:0010694,UMLS:C4023735
Abnormal pelvis bone morphology,Abnormal shape of pelvis bone,HP:0040163,UMLS:C4073132
Abnormal retinal morphology on macular OCT,,HP:0030612,UMLS:C4073082
Isosexual precocious puberty,,HP:0008236,SNOMEDCT_US:4294006|UMLS:C0271528
Athetoid cerebral palsy,Dyskinetic cerebral palsy,HP:0011445,MSH:D002547|UMLS:C0270742|SNOMEDCT_US:75019001|SNOMEDCT_US:230780007
"Abnormal aggressive, impulsive or violent behavior","Aggressive/violent behaviour|Aggressive/violent behavior|Abnormal aggressive, impulsive or violent behaviour",HP:0006919,UMLS:C4024963
Alopecia totalis,Total alopecia,HP:0007418,SNOMEDCT_US:19754005|UMLS:C0263504
Premature graying of hair,Early graying|Early greying|Premature graying|Premature graying of hair|Premature hair graying|Premature greying of hair|Premature greying|Premature hair greying|Premature graying of the hair|Premature greying of the hair,HP:0002216,SNOMEDCT_US:387833009|UMLS:C0263498
Abnormality of the synovia,,HP:0005262,UMLS:C4025225
Blepharitis,Cellulitis of eyelids|Inflammation of eyelids,HP:0000498,UMLS:C0339063|SNOMEDCT_US:41446000|SNOMEDCT_US:231796003|MSH:D001762|UMLS:C0005741
Flattened femoral epiphysis,Flattended end part of thigh bone,HP:0030289,UMLS:C1850642
Recurrent vulvovaginal candidiasis,,HP:0012204,UMLS:C4023003
Neoplasm of the rectum,Rectal tumour|Rectal tumor,HP:0100743,NCIT:C3262|MSH:D012004|SNOMEDCT_US:126847008|UMLS:C0034885
Pyridoxine-responsive sideroblastic anemia,Pyridoxine-responsive sideroblastic anaemia,HP:0005522,SNOMEDCT_US:25443007|UMLS:C0272027|SNOMEDCT_US:191260004
